"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Aciclovir|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|Muscle|Intracellular|Aciclovir|Concentration [µmol/l]"
1,486,4.600441,3.784985
1,489,4.559016,3.750337
1,492,4.517972,3.716013
1,495,4.477303,3.68201
1,498,4.437008,3.648325
1,501,4.397083,3.614955
1,504,4.357524,3.581897
1,507,4.318327,3.549148
1,510,4.27949,3.516704
1,513,4.241008,3.484562
1,516,4.202879,3.452721
1,519,4.1651,3.421178
1,522,4.127666,3.389928
1,525,4.090576,3.35897
1,528,4.053825,3.328301
1,531,4.017411,3.297918
1,534,3.98133,3.267818
1,537,3.945578,3.237998
1,540,3.910154,3.208456
1,543,3.875053,3.179189
1,546,3.840273,3.150195
1,549,3.805812,3.12147
1,552,3.771665,3.093013
1,555,3.73783,3.064821
1,558,3.704304,3.036891
1,561,3.671085,3.009221
1,564,3.63817,2.981809
1,567,3.605555,2.954651
1,570,3.573237,2.927747
1,573,3.541216,2.901092
1,576,3.509487,2.874685
1,579,3.478047,2.848523
1,582,3.446892,2.822604
1,585,3.416022,2.796925
1,588,3.385433,2.771485
1,591,3.355123,2.746281
1,594,3.32509,2.72131
1,597,3.29533,2.696572
1,600,3.265841,2.672063
1,603,3.236622,2.647781
1,606,3.207668,2.623724
1,609,3.178978,2.599891
1,612,3.15055,2.576279
1,615,3.122381,2.552886
1,618,3.094469,2.529711
1,621,3.066812,2.50675
1,624,3.039405,2.484001
1,627,3.012247,2.461462
1,630,2.985336,2.439132
1,633,2.958669,2.417009
1,636,2.932245,2.395091
1,639,2.906062,2.373375
1,642,2.880117,2.351861
1,645,2.854407,2.330545
1,648,2.828931,2.309427
1,651,2.803687,2.288504
1,654,2.778672,2.267775
1,657,2.753885,2.247237
1,660,2.729323,2.22689
1,663,2.704984,2.20673
1,666,2.680866,2.186757
1,669,2.656967,2.166968
1,672,2.633284,2.147362
1,675,2.609817,2.127937
1,678,2.586562,2.108691
1,681,2.563518,2.089623
1,684,2.540684,2.07073
1,687,2.518056,2.052012
1,690,2.495633,2.033467
1,693,2.473414,2.015093
1,696,2.451396,1.996888
1,699,2.429577,1.978851
1,702,2.407956,1.96098
1,705,2.386531,1.943274
1,708,2.365299,1.92573
1,711,2.34426,1.908349
1,714,2.323412,1.891127
1,717,2.302752,1.874065
1,720,2.282279,1.857159
1,723,2.261992,1.840409
1,726,2.241887,1.823813
1,729,2.221965,1.807369
1,732,2.202223,1.791077
1,735,2.182659,1.774934
1,738,2.163272,1.75894
1,741,2.144059,1.743093
1,744,2.125021,1.727391
1,747,2.106154,1.711833
1,750,2.087458,1.696419
1,753,2.06893,1.681145
1,756,2.050569,1.666012
1,759,2.032375,1.651018
1,762,2.014344,1.636161
1,765,1.996476,1.621441
1,768,1.97877,1.606856
1,771,1.961223,1.592404
1,774,1.943834,1.578085
1,777,1.926602,1.563897
1,780,1.909525,1.549839
1,783,1.892602,1.53591
1,786,1.875832,1.522109
1,789,1.859212,1.508434
1,792,1.842742,1.494884
1,795,1.826421,1.481457
1,798,1.810246,1.468154
1,801,1.794217,1.454973
1,804,1.778332,1.441912
1,807,1.76259,1.42897
1,810,1.74699,1.416147
1,813,1.73153,1.403442
1,816,1.716209,1.390852
1,819,1.701026,1.378377
1,822,1.685979,1.366017
1,825,1.671068,1.353769
1,828,1.656291,1.341633
1,831,1.641646,1.329608
1,834,1.627133,1.317693
1,837,1.612751,1.305887
1,840,1.598497,1.294188
1,843,1.584372,1.282596
1,846,1.570373,1.27111
1,849,1.5565,1.259728
1,852,1.542752,1.248451
1,855,1.529127,1.237276
1,858,1.515624,1.226203
1,861,1.502243,1.215231
1,864,1.488981,1.204359
1,867,1.475839,1.193587
1,870,1.462814,1.182912
1,873,1.449906,1.172334
1,876,1.437114,1.161853
1,879,1.424436,1.151468
1,882,1.411872,1.141176
1,885,1.399421,1.130979
1,888,1.387081,1.120874
1,891,1.374852,1.110862
1,894,1.362732,1.10094
1,897,1.350721,1.091109
1,900,1.338817,1.081367
1,903,1.327021,1.071714
1,906,1.315329,1.062149
1,909,1.303743,1.05267
1,912,1.29226,1.043278
1,915,1.280879,1.033971
1,918,1.269601,1.024749
1,921,1.258423,1.01561
1,924,1.247346,1.006554
1,927,1.236367,0.9975806
1,930,1.225487,0.9886886
1,933,1.214703,0.9798772
1,936,1.204016,0.9711457
1,939,1.193424,0.9624934
1,942,1.182927,0.9539195
